block,source_colony,colony_number,treatment,colony_size
1,2,2,control,16
1,2,3,neonic,16
1,2,4,control,16
1,2,5,control,4
1,2,7,neonic,16
1,2,6,neonic,4
1,1,9,control,4
1,3,10,control,4
1,3,12,neonic,4
1,3,11,control,4
1,3,8,neonic,4
1,3,1,neonic,4
2,3,1,control,16
2,3,2,neonic,16
2,3,3,neonic,16
2,3,12,control,16
2,3,6,neonic,4
2,3,9,neonic,4
2,3,11,control,4
2,3,7,neonic,4
2,3,4,control,4
2,3,5,neonic,4
2,3,10,control,4
2,3,8,control,4
3,2,6,neonic,16
3,2,4,control,16
3,2,2,neonic,4
3,2,12,control,4
3,2,3,control,4
3,2,7,control,4
3,2,5,neonic,4
3,2,13,neonic,4
3,2,10,neonic,4
3,2,9,control,4