block,colony,tag ID
1,1,33
1,1,47
1,1,22
1,1,36
1,2,44
1,2,5
1,2,12
1,2,1
1,2,33
1,2,45
1,2,40
1,2,21
1,2,30
1,2,32
1,2,47
1,2,34
1,2,3
1,2,31
1,2,6
1,2,20
1,3,19
1,3,42
1,3,7
1,3,28
1,3,23
1,3,43
1,3,24
1,3,8
1,3,4
1,3,37
1,3,14
1,3,38
1,3,41
1,3,36
1,3,17
1,3,0
1,4,27
1,4,22
1,4,29
1,4,2
1,4,13
1,4,25
1,4,46
1,4,11
1,4,39
1,4,10
1,4,15
1,4,49
1,4,26
1,4,9
1,4,16
1,4,35
1,5,18
1,5,22
1,5,25
1,5,31
1,6,13
1,6,43
1,6,35
1,6,0
1,7,29
1,7,20
1,7,24
1,7,0
1,7,16
1,7,44
1,7,27
1,7,2
1,7,12
1,7,46
1,7,36
1,7,5
1,7,19
1,7,41
1,7,8
1,7,33
1,8,7
1,8,49
1,8,39
1,8,18
1,9,48
1,9,4
1,9,29
1,9,27
1,10,1
1,10,32
1,10,46
1,10,15
1,11,34
1,11,28
1,11,30
1,11,37
1,12,21
1,12,38
1,12,45
1,12,3
2,1,9
2,1,48
2,1,18
2,1,16
2,1,49
2,1,33
2,1,39
2,1,17
2,1,38
2,1,30
2,1,12
2,1,22
2,1,23
2,1,3
2,1,35
2,1,2
2,2,31
2,2,8
2,2,1
2,2,34
2,2,0
2,2,15
2,2,36
2,2,24
2,2,5
2,2,42
2,2,13
2,2,14
2,2,19
2,2,21
2,2,27
2,2,25
2,3,10
2,3,37
2,3,4
2,3,11
2,3,32
2,3,41
2,3,47
2,3,45
2,3,26
2,3,44
2,3,28
2,3,43
2,3,46
2,3,40
2,3,7
2,3,6
2,4,41
2,4,5
2,4,44
2,4,20
2,5,19
2,5,37
2,5,8
2,5,16
2,6,33
2,6,20
2,6,29
2,6,15
2,7,1
2,7,24
2,7,39
2,7,38
2,8,22
2,8,42
2,8,27
2,8,11
2,9,7
2,9,12
2,9,47
2,9,40
2,10,21
2,10,30
2,10,45
2,10,46
2,11,18
2,11,25
2,11,14
2,11,16
2,12,9
2,12,2
2,12,0
2,12,26
2,12,17
2,12,13
2,12,10
2,12,48
2,12,35
2,12,28
2,12,23
2,12,49
2,12,3
2,12,29
3,2,32
3,2,47
3,2,41
3,2,2
3,3,22
3,3,34
3,3,19
3,3,21
3,4,33
3,4,26
3,4,28
3,4,8
3,4,38
3,4,49
3,4,44
3,4,15
3,4,24
3,4,39
3,4,20
3,4,46
3,4,18
3,4,30
3,4,42
3,4,10
3,5,4
3,5,21
3,5,6
3,5,22
3,6,12
3,6,7
3,6,11
3,6,43
3,6,0
3,6,31
3,6,35
3,6,4
3,6,45
3,6,3
3,6,37
3,6,9
3,6,13
3,6,14
3,6,16
3,6,36
3,7,29
3,7,44
3,7,1
3,7,40
3,9,11
3,9,46
3,9,2
3,9,5
3,10,40
3,10,29
3,10,31
3,10,47
3,12,27
3,12,5
3,12,48
3,12,17
3,13,10
3,13,48
3,13,35
3,13,43